Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Finished,20,20,25-1,Ori Leonzini,ISR,yes,10009871853,M,teamisgav 1 (TMM),Men,43:34.5,4:19:32.0,3:55:12.0,2:47:11.0,11:45:29.5,+1:07:08.3
Finished,20,20,25-2,Gil ly Gonen,ISR,yes,10053899244,M,teamisgav 1 (TMM),Men,43:34.5,4:19:32.0,3:55:12.0,2:47:11.0,11:45:29.5,+1:07:08.3
Finished,21,21,20-1,Ranker Niclas,GER,yes,10016246571,M,Team Wheelsports-Beinarbeit,Men,41:38.5,4:22:12.0,3:57:08.0,2:49:05.0,11:50:03.5,+1:11:42.3
Finished,21,21,20-2,Paul Hauser,GER,yes,10036189973,M,Team Wheelsports-Beinarbeit,Men,41:38.5,4:22:12.0,3:57:08.0,2:49:05.0,11:50:03.5,+1:11:42.3
Finished,22,22,21-1,Holger Schaarschmidt,GER,yes,10084619851,M,world of mtb,Men,42:57.8,4:21:01.0,4:00:13.0,2:49:07.0,11:53:18.8,+1:14:57.6
Finished,22,22,21-2,Sonke Wegner,GER,yes,10006474833,M,world of mtb,Men,42:57.8,4:21:01.0,4:00:13.0,2:49:07.0,11:53:18.8,+1:14:57.6
Finished,23,23,6-1,Andras Parti,HUN,yes,10004031140,M,Hungarian National Team (HUN),Men,41:18.3,4:34:14.0,4:08:42.0,2:48:15.0,12:12:29.3,+1:34:08.1
Finished,23,23,6-2,Zsombor Palumby,HUN,yes,10008821223,M,Hungarian National Team (HUN),Men,41:18.3,4:34:14.0,4:08:42.0,2:48:15.0,12:12:29.3,+1:34:08.1
Finished,24,24,29-1,Daniel McConnell,AUS,yes,10075237628,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,5:07:25.0,3:45:44.0,2:39:51.0,12:15:33.8,+1:37:12.6
Finished,24,24,29-2,Anton Stinsov,RUS,yes,10002843292,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,5:07:25.0,3:45:44.0,2:39:51.0,12:15:33.8,+1:37:12.6
Leader,25,1,101-1,Haley Smith,CAN,yes,10007852132,F,Canada (CAN),Women,45:54.1,4:40:36.0,4:12:10.0,2:58:55.0,12:37:35.1,+1:59:13.9
Leader,25,1,101-2,Catharine Pendrel,CAN,yes,10004040133,F,Canada (CAN),Women,45:54.1,4:40:36.0,4:12:10.0,2:58:55.0,12:37:35.1,+1:59:13.9
Finished,26,25,94-1,Roi Milman,ISR,no,,M,ZONE3,Men,45:21.1,4:46:52.0,4:19:55.0,2:59:29.0,12:51:37.1,+2:13:15.9
Finished,26,25,94-2,Chanan Friedman,ISR,no,,M,ZONE3,Men,45:21.1,4:46:52.0,4:19:55.0,2:59:29.0,12:51:37.1,+2:13:15.9
Finished,27,26,96-1,Martin Zeithammer,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,4:41:25.0,4:33:35.0,2:54:34.0,12:53:02.9,+2:14:41.7
Finished,27,26,96-2,Petr Taticek,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,4:41:25.0,4:33:35.0,2:54:34.0,12:53:02.9,+2:14:41.7
Finished,28,2,112-1,Chloe Woodruff,USA,yes,10003662540,F,Team USA (USA),Women,43:59.8,4:44:03.0,4:25:39.0,3:01:51.0,12:55:32.8,+2:17:11.6
Finished,28,2,112-2,Erin Huck,USA,yes,10006969735,F,Team USA (USA),Women,43:59.8,4:44:03.0,4:25:39.0,3:01:51.0,12:55:32.8,+2:17:11.6
Leader,29,1,301-1,Angelo Di Veroli,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,4:42:18.0,4:23:06.0,3:06:08.0,12:57:47.3,+2:19:26.1
Leader,29,1,301-2,Haim Dahan,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,4:42:18.0,4:23:06.0,3:06:08.0,12:57:47.3,+2:19:26.1
Finished,30,3,110-1,Sofia Gomez Villafane,ARG,yes,10008140809,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,4:39:25.0,4:32:50.0,3:01:41.0,12:58:54.3,+2:20:33.1
Finished,30,3,110-2,Rose Grant,USA,yes,10008187891,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,4:39:25.0,4:32:50.0,3:01:41.0,12:58:54.3,+2:20:33.1
Finished,31,27,17-1,Ophir Ravina,ISR,yes,10014530479,M,yuri&ophir,Men,45:38.5,5:01:45.0,4:19:51.0,2:59:05.0,13:06:19.5,+2:27:58.3
Finished,31,27,17-2,Yuri Levinzon,ISR,yes,10003878667,M,yuri&ophir,Men,45:38.5,5:01:45.0,4:19:51.0,2:59:05.0,13:06:19.5,+2:27:58.3
Finished,32,28,42-1,Ruslan Khovalkin,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,4:44:00.0,4:39:59.0,3:10:27.0,13:19:30.8,+2:41:09.6
