Migdal Epic Israel -Stage 3
Saturday Long Grand
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
11,762,Yaron Menahem,Lavi Cohen,5:39:09,5:39:07,5:39:09,2:08:41
12,767,Barry Tal,Ofir Beker,5:46:49,5:46:49,5:46:49,2:16:21
13,773,Daniel Gruia,Gal Shtaigemann,5:59:39,5:59:38,5:59:39,2:29:11
IF1,772,Noam Zach,Aviv Zilberstain,5:31:51,,5:31:51,
Saturday Long Men
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,704,Alex Usob Levy,Guy Blecher,3:45:10,3:45:09,3:45:10,
2,702,Moshik Cohen,Tom Degani,3:49:14,3:49:14,3:49:14,4:04
3,707,Hen Gruman,Eyal Rosenberg,3:49:27,3:49:27,3:49:27,4:17
4,701,Avi Ben David,Elad Saidi,3:56:55,3:56:54,3:56:55,11:45
5,706,Randy Hako,Adam Shamsi,4:00:15,4:00:15,4:00:15,15:05
6,711,Slmn Nabwani,Moneer Ammar,3:44:25,4:05:47,4:05:47,20:37
7,708,Fares Abd Elhadi,Mohamad Baraky,4:21:48,4:21:48,4:21:48,36:38
8,710,Michael Shamis,Nizan Shamis,4:45:03,4:45:03,4:45:03,59:53
9,712,Avihay Pinhas,Vadim Malenboim,4:53:26,4:53:27,4:53:27,1:08:17
10,705,Nassem Ayoub,Wessam Ayoub,5:27:40,5:27:41,5:27:41,1:42:31
11,703,Mohammad Naffaa,Mahmood Hleihl,5:56:08,5:50:21,5:56:08,2:10:58
Saturday Long Mixed
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,744,Ben Lotan,Ola Ludmer,4:18:13,4:18:14,4:18:14,
2,746,Gil Cohen,Sagi Gailis,4:24:57,4:24:57,4:24:57,6:43
3,743,Einat Regev,Liran Ahrak,5:09:29,5:09:27,5:09:29,51:15
4,742,Sharon Wolman,Nitsan Aviv,6:02:26,6:02:26,6:02:26,1:44:12
IF1,741,Mike Penciner,Melisa Kadosh,4:37:30,,4:37:30,
Saturday Medium Cadets
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,891,Tomer Caspi,Tohar Zach,2:17:57,2:17:57,2:17:57,
Saturday Medium Grand
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,882,Arie Raizes,Ofer Grosu,2:44:43,2:44:43,2:44:43,
2,881,Shay Ben Hamo,Yonatan Akabali,3:02:26,3:02:29,3:02:29,17:46
Saturday Medium Masters
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,867,Shay Mandel,Shay Cohen,2:22:19,2:22:18,2:22:19,
2,865,Tamir Yonash,Yaron Fuerst,2:59:11,2:59:10,2:59:11,36:52
3,861,Felix Berger,Avi Davidovich,3:21:34,3:21:32,3:21:34,59:15
4,862,Nir Gelberg,Gabi Sharon,3:26:33,3:26:33,3:26:33,1:04:14
5,866,Shay Samama,Rafael Maxsim,3:39:22,3:38:30,3:39:22,1:17:03
6,864,Nir Hazan,Eran Peleg,3:42:37,3:42:37,3:42:37,1:20:18
DNS,863,Avi Cohen,Yuval Sherman,,,,
Saturday Medium Men
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,806,Mohamad Yahya,Ehab Yahya,2:30:07,2:30:07,2:30:07,
2,805,Muhamed Arbasi,Ataf Shlbi,2:34:14,2:34:22,2:34:22,4:15
3,801,Uzi Galili,Ron Cohen,2:35:33,2:35:33,2:35:33,5:26
4,802,Igor Aronovich,Anthony Aronovich,3:01:40,3:01:41,3:01:41,31:34
5,804,Yehiel Shoval,Dudu Shoval,3:24:13,3:24:12,3:24:13,54:06
6,803,Matan Shteinberg,Sason Zinger,3:47:26,3:47:28,3:47:28,1:17:21
7,807,Or Rozkovsky,Alex Rozkovsky,4:21:30,4:21:31,4:21:31,1:51:24
Saturday Medium Mixed
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,847,Romi Veldnizki,Ron Ben Efraim,2:35:07,2:35:07,2:35:07,
2,844,Guy Dvir,Ornit Shoshani,3:09:01,3:09:00,3:09:01,33:54
3,843,Erez Yehuda,Galit Mously,3:12:55,3:12:54,3:12:55,37:48
4,841,Peri Bayo,Eilam Shalev,3:21:35,3:21:36,3:21:36,46:29
5,846,Shir Adler,Ohad Avraham,3:57:24,3:57:21,3:57:24,1:22:17
DNF,842,Chen Shlein,Ruth Shlein,,,,
Saturday Medium Women
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,821,Tal Elson,Ayala Tennenbaum,3:40:39,3:40:41,3:40:41,
Saturday Solo Men
Rank,No.,Rider,Time,Gap
1,957,Amal Christian Abou Hatoum,2:12:50,
2,929,Hidai Bar-Mor,2:29:45,16:55
3,949,Esa Zhalka,2:34:30,21:40
4,935,Noam Basok,2:39:49,26:59
5,928,Sharon Mishali,2:41:11,28:21
6,936,Aviv Barabi,2:42:09,29:19
7,947,Avi Blumenreich,2:44:37,31:47
8,938,Ido Levi,2:46:14,33:24
9,940,Alon Wizman,2:47:02,34:12
10,913,Rudi Gruteke,2:55:23,42:33
11,944,Ran Inbar,2:56:34,43:44
12,934,Aamer Yahya,2:57:55,45:05
13,959,Tom Zehavi,2:59:13,46:23
14,918,Tsach Nahari,2:59:14,46:24
15,950,Inon Gozlan,2:59:17,46:27
16,903,Yaki Oz,2:59:59,47:09
17,939,Asaf Edni,3:00:19,47:29
18,945,Thaer Abu Jabal,3:03:31,50:41
19,960,Morad Awad,3:07:42,54:52
20,926,Dan Lenz,3:09:49,56:59
21,924,Avraham Sayag,3:09:57,57:07
22,923,Gabi Ben Haim,3:10:05,57:15
23,916,Yoram Shushan,3:10:25,57:35
24,915,Avner Eitan,3:10:33,57:43
25,943,Shlomi Moas,3:10:34,57:44
26,909,Omri Meron,3:20:25,1:07:35
27,927,Itzhak Benbenisti,3:23:51,1:11:01
28,919,Tamir Dotan,3:24:10,1:11:20
29,925,Nir Oren-Giladi,3:24:21,1:11:31
30,900,Itay Peri,3:27:44,1:14:54
31,910,Moshik Lencicki,3:31:49,1:18:59
32,917,Yuval Barkay,3:41:16,1:28:26
33,907,Yamy Vissel,3:41:24,1:28:34
34,946,Nimrod Knanai,3:47:14,1:34:24
35,908,Shai Raveh,3:49:06,1:36:16
36,948,Shafea Jabarin,3:57:01,1:44:11
37,914,Arie Labe,4:06:44,1:53:54
38,904,Shlomo Adato,4:10:54,1:58:04
39,906,Elias Perelmuter,5:16:35,3:03:45
40,930,Tofek Said Ahmad,5:19:55,3:07:05
DNS,937,Mahmud Abo Seria,,
Saturday Solo Women
Rank,No.,Rider,Time,Gap
1,954,Svenja Raff,2:42:24,
2,956,Tamar Luria,3:22:45,40:21
3,953,Yulia Yufa,3:25:07,42:43
4,955,Liana Moore,3:37:37,55:13
