Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Finished,106,10,521-1,Rafael Farhi,ISR,no,,M,BULTHAUP,Grand Masters,53:24.4,6:15:54.0,5:25:43.0,12:35:01.4,+4:31:11.2
Finished,106,10,521-2,Ran Persberg,ISR,no,,M,BULTHAUP,Grand Masters,53:24.4,6:15:54.0,5:25:43.0,12:35:01.4,+4:31:11.2
Finished,107,11,522-1,Nitsan Dahan,ISR,no,,M,Kal Bamishorim,Grand Masters,54:12.1,5:58:47.0,5:42:09.0,12:35:08.1,+4:31:17.9
Finished,107,11,522-2,Niv Peles,ISR,no,,M,Kal Bamishorim,Grand Masters,54:12.1,5:58:47.0,5:42:09.0,12:35:08.1,+4:31:17.9
Finished,108,4,212-1,Harel Swisa,ISR,no,,M,Ncc team,Mixed,53:44.4,5:40:35.0,6:01:07.0,12:35:26.4,+4:31:36.2
Finished,108,4,212-2,Yelena Yastrebov,ISR,no,,F,Ncc team,Mixed,53:44.4,5:40:35.0,6:01:07.0,12:35:26.4,+4:31:36.2
Finished,109,60,54-1,Asaf Inbar,ISR,no,,M,asaf&yoni,Men,54:41.6,5:55:44.0,5:45:31.0,12:35:56.6,+4:32:06.4
Finished,109,60,54-2,Yoni Wolff,ISR,no,,M,asaf&yoni,Men,54:41.6,5:55:44.0,5:45:31.0,12:35:56.6,+4:32:06.4
Finished,110,61,75-1,Hod Hovav,ISR,no,,M,El Nino,Men,52:05.1,5:47:47.0,5:56:24.0,12:36:16.1,+4:32:25.9
Finished,110,61,75-2,Yuval Bar,ISR,no,,M,El Nino,Men,52:05.1,5:47:47.0,5:56:24.0,12:36:16.1,+4:32:25.9
Finished,111,25,305-1,Rostislav Gerasimov,ISR,no,,M,Rosti & Mario CCC,Masters,54:43.7,5:54:38.0,5:47:16.0,12:36:37.7,+4:32:47.5
Finished,111,25,305-2,Mario Sermoneta,ISR,no,,M,Rosti & Mario CCC,Masters,54:43.7,5:54:38.0,5:47:16.0,12:36:37.7,+4:32:47.5
Finished,112,62,82-1,Eli Avzak,ISR,no,,M,Adiga Cycling,Men,52:43.6,5:55:39.0,5:48:39.0,12:37:01.6,+4:33:11.4
