Migdal Epic Israel - Prologue
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Time,Gap
Finished,21,21,31-1,Eitan Levi,ISR,yes,10056549465,M,TNT SIGMA,Men,42:29.5,42:29.5,+5:20.3
Finished,21,21,31-2,Eliad Daniel,ISR,yes,10085167802,M,TNT SIGMA,Men,42:29.5,42:29.5,+5:20.3
Finished,22,22,29-1,Daniel McConnell,AUS,yes,10075237628,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,42:33.8,+5:24.6
Finished,22,22,29-2,Anton Stinsov,RUS,yes,10002843292,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,42:33.8,+5:24.6
Finished,23,23,21-1,Holger Schaarschmidt,GER,yes,10084619851,M,world of mtb,Men,42:57.8,42:57.8,+5:48.6
Finished,23,23,21-2,Sonke Wegner,GER,yes,10006474833,M,world of mtb,Men,42:57.8,42:57.8,+5:48.6
Finished,24,24,22-1,Joshua Lecointre,FRA,yes,10011015039,M,TEAM VOSGES VTT UCI (TVV),Men,43:11.3,43:11.3,+6:02.1
Finished,24,24,22-2,Vincent Sibille,FRA,yes,10008151519,M,TEAM VOSGES VTT UCI (TVV),Men,43:11.3,43:11.3,+6:02.1
Finished,25,25,96-1,Martin Zeithammer,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,43:28.9,+6:19.7
Finished,25,25,96-2,Petr Taticek,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,43:28.9,+6:19.7
Finished,26,26,25-1,Ori Leonzini,ISR,yes,10009871853,M,teamisgav 1 (TMM),Men,43:34.5,43:34.5,+6:25.3
Finished,26,26,25-2,Gil ly Gonen,ISR,yes,10053899244,M,teamisgav 1 (TMM),Men,43:34.5,43:34.5,+6:25.3
Finished,27,27,74-1,Kevin Haselsberger,AUT,no,,M,MTB-O Austria Factory Team,Men,43:38.9,43:38.9,+6:29.7
Finished,27,27,74-2,Tobias Breitschaedel,AUT,no,,M,MTB-O Austria Factory Team,Men,43:38.9,43:38.9,+6:29.7
Finished,28,28,27-1,Tobias Sindlinger,GER,yes,10013769536,M,MTB-News.de,Men,43:40.5,43:40.5,+6:31.3
Finished,28,28,27-2,Gabriel Sindlinger,GER,yes,10011122850,M,MTB-News.de,Men,43:40.5,43:40.5,+6:31.3
Leader,29,1,112-1,Chloe Woodruff,USA,yes,10003662540,F,Team USA (USA),Women,43:59.8,43:59.8,+6:50.6
Leader,29,1,112-2,Erin Huck,USA,yes,10006969735,F,Team USA (USA),Women,43:59.8,43:59.8,+6:50.6
Finished,30,29,18-1,Guy Kaftori,ISR,yes,10097483869,M,The Buttons Team matzman,Men,44:19.5,44:19.5,+7:10.3
Finished,30,29,18-2,Noam Straschnow,ISR,yes,10007578714,M,The Buttons Team matzman,Men,44:19.5,44:19.5,+7:10.3
Finished,31,2,111-1,Rebecca McConnell,AUS,yes,10075237729,F,Primaflor Mondraker Rotor (PMR),Women,44:57.1,44:57.1,+7:47.9
Finished,31,2,111-2,Githa Michiels,BEL,yes,10003951015,F,Primaflor Mondraker Rotor (PMR),Women,44:57.1,44:57.1,+7:47.9
Finished,32,3,110-1,Sofia Gomez Villafane,ARG,yes,10008140809,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,44:58.3,+7:49.1
Finished,32,3,110-2,Rose Grant,USA,yes,10008187891,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,44:58.3,+7:49.1
Finished,33,30,42-1,Ruslan Khovalkin,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,45:04.8,+7:55.6
Finished,33,30,42-2,Igor Stepanov,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,45:04.8,+7:55.6
Finished,34,31,19-1,David Reznik,ISR,yes,10002866635,M,The Babies,Men,45:18.7,45:18.7,+8:09.5
