Migdal Epic Israel - Prologue
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Time,Gap
Finished,107,27,375-2,Ori Shacham,ISR,no,,M,Raz&Ori,Masters,51:45.7,51:45.7,+14:36.5
Finished,108,28,374-1,Elad Raz,ISR,no,,M,Chainsmokers,Masters,51:49.8,51:49.8,+14:40.6
Finished,108,28,374-2,Andi Levy,ISR,no,,M,Chainsmokers,Masters,51:49.8,51:49.8,+14:40.6
Finished,109,29,320-1,Gil Naor,ISR,no,,M,InterValley,Masters,51:52.2,51:52.2,+14:43.0
Finished,109,29,320-2,Boaz Haker,ISR,no,,M,InterValley,Masters,51:52.2,51:52.2,+14:43.0
Finished,110,30,362-1,Stephan Gous,RSA,no,,M,Anderson Transport,Masters,51:54.2,51:54.2,+14:45.0
Finished,110,30,362-2,Henk Adendorff,RSA,no,,M,Anderson Transport,Masters,51:54.2,51:54.2,+14:45.0
Finished,111,31,311-1,Chen Tal,ISR,no,,M,Shy & Chen,Masters,51:59.4,51:59.4,+14:50.2
Finished,111,31,311-2,Shy Shyman,ISR,no,,M,Shy & Chen,Masters,51:59.4,51:59.4,+14:50.2
Finished,112,61,59-1,Elad Gaon,ISR,no,,M,packman team,Men,52:03.1,52:03.1,+14:53.9
Finished,112,61,59-2,Yehuda Packer,ISR,no,,M,packman team,Men,52:03.1,52:03.1,+14:53.9
Finished,113,62,75-1,Hod Hovav,ISR,no,,M,El Nino,Men,52:05.1,52:05.1,+14:55.9
Finished,113,62,75-2,Yuval Bar,ISR,no,,M,El Nino,Men,52:05.1,52:05.1,+14:55.9
Finished,114,63,63-1,Anan Polak,ISR,no,,M,Team Nof-Carmel,Men,52:06.9,52:06.9,+14:57.7
Finished,114,63,63-2,Boaz Gotfrid,ISR,no,,M,Team Nof-Carmel,Men,52:06.9,52:06.9,+14:57.7
Finished,115,9,539-1,Yam Raz,ISR,no,,M,zaznu,Grand Masters,52:11.1,52:11.1,+15:01.9
Finished,115,9,539-2,Shay Shabtay,ISR,no,,M,zaznu,Grand Masters,52:11.1,52:11.1,+15:01.9
Finished,116,32,309-1,Peter Korsholm,DEN,no,,M,Club 71,Masters,52:41.7,52:41.7,+15:32.5
Finished,116,32,309-2,Nicolai Sjo,DEN,no,,M,Club 71,Masters,52:41.7,52:41.7,+15:32.5
Finished,117,64,82-1,Eli Avzak,ISR,no,,M,Adiga Cycling,Men,52:43.6,52:43.6,+15:34.4
Finished,117,64,82-2,Jan Nash,ISR,no,,M,Adiga Cycling,Men,52:43.6,52:43.6,+15:34.4
Finished,118,3,203-1,Arnon Shadmi,ISR,no,,M,CCC- Botz,Mixed,52:45.4,52:45.4,+15:36.2
Finished,118,3,203-2,Moran Tel-paz,ISR,no,,F,CCC- Botz,Mixed,52:45.4,52:45.4,+15:36.2
Finished,119,33,317-1,Ronen Heinemann,ISR,no,,M,Team BikeWay,Masters,52:45.7,52:45.7,+15:36.5
Finished,119,33,317-2,Barak Oknin,ISR,no,,M,Team BikeWay,Masters,52:45.7,52:45.7,+15:36.5
Finished,120,34,315-1,Tsur Bdolach,ISR,no,,M,nir&tsur,Masters,52:50.4,52:50.4,+15:41.2
Finished,120,34,315-2,Maoz Paz-Tal,ISR,no,,M,nir&tsur,Masters,52:50.4,52:50.4,+15:41.2
Finished,121,35,345-1,Adi Koren,ISR,no,,M,דניאל ועדי,Masters,52:51.8,52:51.8,+15:42.6
Finished,121,35,345-2,Daniel Kaminsky,ISR,no,,M,דניאל ועדי,Masters,52:51.8,52:51.8,+15:42.6
Finished,122,36,376-1,Ronen Fidel,ISR,no,,M,R&R team,Masters,53:04.0,53:04.0,+15:54.8
Finished,122,36,376-2,Ruby Saadon,ISR,no,,M,R&R team,Masters,53:04.0,53:04.0,+15:54.8
Finished,123,65,50-1,Jonathan Stamler,ISR,no,,M,Team Abu,Men,53:04.1,53:04.1,+15:54.9
Finished,123,65,50-2,Daniel Stamler,ISR,no,,M,Team Abu,Men,53:04.1,53:04.1,+15:54.9
Finished,124,4,202-1,Eldad Ohayon,ISR,no,,M,Bike Way,Mixed,53:06.7,53:06.7,+15:57.5
Finished,124,4,202-2,Moran Feller,ISR,no,,F,Bike Way,Mixed,53:06.7,53:06.7,+15:57.5
Finished,125,37,381-1,Gil Poyastro,ISR,no,,M,the buttons,Masters,53:20.5,53:20.5,+16:11.3
Finished,125,37,381-2,David Yona,ISR,no,,M,the buttons,Masters,53:20.5,53:20.5,+16:11.3
Finished,126,10,521-1,Rafael Farhi,ISR,no,,M,BULTHAUP,Grand Masters,53:24.4,53:24.4,+16:15.2
Finished,126,10,521-2,Ran Persberg,ISR,no,,M,BULTHAUP,Grand Masters,53:24.4,53:24.4,+16:15.2
Finished,127,66,47-1,Sapir Biton,ISR,no,,M,Where's the Feed Zone,Men,53:38.3,53:38.3,+16:29.1
Finished,127,66,47-2,Yuval Tal,ISR,no,,M,Where's the Feed Zone,Men,53:38.3,53:38.3,+16:29.1
Finished,128,5,212-1,Harel Swisa,ISR,no,,M,Ncc team,Mixed,53:44.4,53:44.4,+16:35.2
Finished,128,5,212-2,Yelena Yastrebov,ISR,no,,F,Ncc team,Mixed,53:44.4,53:44.4,+16:35.2
Finished,129,38,306-1,Ilan Zimet,SUI,no,,M,GOOO SWISS,Masters,53:45.7,53:45.7,+16:36.5
Finished,129,38,306-2,Ido Dolev,SUI,no,,M,GOOO SWISS,Masters,53:45.7,53:45.7,+16:36.5
Finished,130,39,394-1,Louis Anderson,RSA,no,,M,Anderson Brothers,Masters,53:48.2,53:48.2,+16:39.0
Finished,130,39,394-2,Heimer Anderson,RSA,no,,M,Anderson Brothers,Masters,53:48.2,53:48.2,+16:39.0
Finished,131,40,363-1,Ido Mevorach,ISR,no,,M,Team BikeWay,Masters,53:53.2,53:53.2,+16:44.0
Finished,131,40,363-2,Etay Kienan,ISR,no,,M,Team BikeWay,Masters,53:53.2,53:53.2,+16:44.0
Finished,132,41,337-1,Moshe Aharoni,ISR,no,,M,LIONS,Masters,54:02.6,54:02.6,+16:53.4
Finished,132,41,337-2,Gal Arie,ISR,no,,M,LIONS,Masters,54:02.6,54:02.6,+16:53.4
Finished,133,42,399-1,Zvika Neeman,ISR,no,,M,Law and Econ,Masters,54:03.2,54:03.2,+16:54.0
Finished,133,42,399-2,Udi Mizrachi,ISR,no,,M,Law and Econ,Masters,54:03.2,54:03.2,+16:54.0
Finished,134,67,52-1,Zvi Avraham,ISR,no,,M,PEAKERS,Men,54:05.8,54:05.8,+16:56.6
Finished,134,67,52-2,Tom Shefer,ISR,no,,M,PEAKERS,Men,54:05.8,54:05.8,+16:56.6
Finished,135,68,88-1,Yaron BarOn,ISR,no,,M,yaron and guy,Men,54:06.6,54:06.6,+16:57.4
Finished,135,68,88-2,Guy Lifshits,ISR,no,,M,yaron and guy,Men,54:06.6,54:06.6,+16:57.4
Finished,136,69,73-1,Yotam Novik,ISR,no,,M,Team Giant Mustache,Men,54:09.1,54:09.1,+16:59.9
Finished,136,69,73-2,Sagiv Kehila,ISR,no,,M,Team Giant Mustache,Men,54:09.1,54:09.1,+16:59.9
Finished,137,43,355-1,Nachshon Vagmayster,ISR,no,,M,Shlomzion,Masters,54:10.8,54:10.8,+17:01.6
Finished,137,43,355-2,Rami Asraf,ISR,no,,M,Shlomzion,Masters,54:10.8,54:10.8,+17:01.6
Finished,138,11,522-1,Nitsan Dahan,ISR,no,,M,Kal Bamishorim,Grand Masters,54:12.1,54:12.1,+17:02.9
Finished,138,11,522-2,Niv Peles,ISR,no,,M,Kal Bamishorim,Grand Masters,54:12.1,54:12.1,+17:02.9
Finished,139,12,511-1,Julian Zetler,RSA,no,,M,Sakkie?s Dream team,Grand Masters,54:14.4,54:14.4,+17:05.2
Finished,139,12,511-2,Issac Borochwitz,RSA,no,,M,Sakkie?s Dream team,Grand Masters,54:14.4,54:14.4,+17:05.2
Finished,140,44,327-1,Avishay Bahar,ISR,no,,M,bahar team,Masters,54:15.5,54:15.5,+17:06.3
Finished,140,44,327-2,Liron Bahar,ISR,no,,M,bahar team,Masters,54:15.5,54:15.5,+17:06.3
Finished,141,13,513-1,Doron Dicastro,ISR,no,,M,Pieter & Doron,Grand Masters,54:24.1,54:24.1,+17:14.9
Finished,141,13,513-2,Pieter Van Rooyen,USA,no,,M,Pieter & Doron,Grand Masters,54:24.1,54:24.1,+17:14.9
Finished,142,45,340-1,Eyal Friedman,ISR,no,,M,Power Rangers,Masters,54:38.5,54:38.5,+17:29.3
Finished,142,45,340-2,Hadar Gat,ISR,no,,M,Power Rangers,Masters,54:38.5,54:38.5,+17:29.3
Finished,143,70,54-1,Asaf Inbar,ISR,no,,M,asaf&yoni,Men,54:41.6,54:41.6,+17:32.4
Finished,143,70,54-2,Yoni Wolff,ISR,no,,M,asaf&yoni,Men,54:41.6,54:41.6,+17:32.4
Finished,144,46,307-1,Guy Zukerman,USA,no,,M,Team Israel Los Angeles,Masters,54:43.2,54:43.2,+17:34.0
Finished,144,46,307-2,Ronen Ben Hamo,USA,no,,M,Team Israel Los Angeles,Masters,54:43.2,54:43.2,+17:34.0
Finished,145,47,305-1,Rostislav Gerasimov,ISR,no,,M,Rosti & Mario CCC,Masters,54:43.7,54:43.7,+17:34.5
Finished,145,47,305-2,Mario Sermoneta,ISR,no,,M,Rosti & Mario CCC,Masters,54:43.7,54:43.7,+17:34.5
Finished,146,48,379-1,Sagi Ben Zvi,ISR,no,,M,500TRI,Masters,54:48.2,54:48.2,+17:39.0
Finished,146,48,379-2,Oved Armoza,ISR,no,,M,500TRI,Masters,54:48.2,54:48.2,+17:39.0
Finished,147,49,308-1,Erez Falkenstein,USA,no,,M,Boulder Aliya,Masters,54:48.5,54:48.5,+17:39.3
Finished,147,49,308-2,Matt Cooke,USA,no,,M,Boulder Aliya,Masters,54:48.5,54:48.5,+17:39.3
Finished,148,50,361-1,Arie Gurion,ISR,no,,M,MARATHONYA - TBW,Masters,54:52.4,54:52.4,+17:43.2
Finished,148,50,361-2,Noam Alon,ISR,no,,M,MARATHONYA - TBW,Masters,54:52.4,54:52.4,+17:43.2
Finished,149,6,204-1,Sergio Lorenzo,ESP,no,,M,BIKE REVISTA,Mixed,54:54.7,54:54.7,+17:45.5
Finished,149,6,204-2,Natalia Montalvo,ESP,no,,F,BIKE REVISTA,Mixed,54:54.7,54:54.7,+17:45.5
Finished,150,71,86-1,Noah Thakoo,ISR,no,,M,adiga cycling,Men,54:54.8,54:54.8,+17:45.6
Finished,150,71,86-2,Adam Gerchad,ISR,no,,M,adiga cycling,Men,54:54.8,54:54.8,+17:45.6
Finished,151,51,350-1,Chen Fried,ISR,no,,M,Fire&Rain,Masters,54:59.3,54:59.3,+17:50.1
Finished,151,51,350-2,Yanay Kleiner,ISR,no,,M,Fire&Rain,Masters,54:59.3,54:59.3,+17:50.1
Finished,152,52,351-1,Guy Sasson,ISR,no,,M,Magal,Masters,55:00.1,55:00.1,+17:50.9
Finished,152,52,351-2,Dani Gati,ISR,no,,M,Magal,Masters,55:00.1,55:00.1,+17:50.9
Finished,153,7,218-1,Eli Altman,ISR,no,,M,Sunshine Ladies,Mixed,55:01.4,55:01.4,+17:52.2
Finished,153,7,218-2,Amanda Genez,ISR,no,,F,Sunshine Ladies,Mixed,55:01.4,55:01.4,+17:52.2
Finished,154,14,540-1,Azri Bayez,ISR,no,,M,The Ballet dancers,Grand Masters,55:16.6,55:16.6,+18:07.4
Finished,154,14,540-2,Simon King,ISR,no,,M,The Ballet dancers,Grand Masters,55:16.6,55:16.6,+18:07.4
Finished,155,72,80-1,Itamar Kovalio,ISR,no,,M,Team Bike Way,Men,55:18.3,55:18.3,+18:09.1
Finished,155,72,80-2,Harel Kfir,ISR,no,,M,Team Bike Way,Men,55:18.3,55:18.3,+18:09.1
Finished,156,53,369-1,Ruben Sher,ISR,no,,M,Cyclink Israel,Masters,55:23.0,55:23.0,+18:13.8
Finished,156,53,369-2,Kobi Pinto,ISR,no,,M,Cyclink Israel,Masters,55:23.0,55:23.0,+18:13.8
Finished,157,54,354-1,Didi Ankori,ISR,no,,M,TeamToom,Masters,55:26.3,55:26.3,+18:17.1
Finished,157,54,354-2,Eli Zi,ISR,no,,M,TeamToom,Masters,55:26.3,55:26.3,+18:17.1
Finished,158,11,115-1,Ivonne Kraft,GER,no,,F,derfaller1,Women,55:29.3,55:29.3,+18:20.1
Finished,158,11,115-2,Brigitte Becker-Jenkner,GER,no,,F,derfaller1,Women,55:29.3,55:29.3,+18:20.1
Finished,159,73,58-1,Aleksey Korablov,ISR,no,,M,ErAl,Men,55:32.9,55:32.9,+18:23.7
Finished,159,73,58-2,Eran Ashkary,ISR,no,,M,ErAl,Men,55:32.9,55:32.9,+18:23.7
Finished,160,15,531-1,Omer Banay,ISR,no,,M,GO,Grand Masters,55:44.9,55:44.9,+18:35.7
Finished,160,15,531-2,Gil Olshansky,ISR,no,,M,GO,Grand Masters,55:44.9,55:44.9,+18:35.7
Finished,161,55,370-1,Andrei Tsirkin,ISR,no,,M,MASTERS HAIFA,Masters,55:46.4,55:46.4,+18:37.2
Finished,161,55,370-2,Stefan Libman,ISR,no,,M,MASTERS HAIFA,Masters,55:46.4,55:46.4,+18:37.2
Finished,163,12,107-1,Anastasiia Riabochkina,RUS,yes,10063363717,F,SERPANTIN,Women,55:50.5,55:50.5,+18:41.3
Finished,163,12,107-2,Maria Petrova,RUS,yes,10065292296,F,SERPANTIN,Women,55:50.5,55:50.5,+18:41.3
Finished,162,56,342-1,Avi Gabay,ISR,no,,M,A&A,Masters,55:50.5,55:50.5,+18:41.3
Finished,162,56,342-2,Arik Eitan,ISR,no,,M,A&A,Masters,55:50.5,55:50.5,+18:41.3
Finished,164,16,538-1,Gadi Goldglas,ISR,no,,M,espresso team,Grand Masters,55:52.4,55:52.4,+18:43.2
Finished,164,16,538-2,Livneh Zarfati,ISR,no,,M,espresso team,Grand Masters,55:52.4,55:52.4,+18:43.2
Finished,165,74,99-1,Tomáš Trávníček,CZE,no,,M,INVEST MTB TEAM III,Men,55:56.8,55:56.8,+18:47.6
Finished,165,74,99-2,Martin Kantor,CZE,no,,M,INVEST MTB TEAM III,Men,55:56.8,55:56.8,+18:47.6
Finished,166,17,533-1,Noam Biran,ISR,no,,M,HD TREK Galilee,Grand Masters,56:05.9,56:05.9,+18:56.7
Finished,166,17,533-2,Tzur Sade,ISR,no,,M,HD TREK Galilee,Grand Masters,56:05.9,56:05.9,+18:56.7
Finished,167,75,44-1,Uri Ben Tzur,ISR,no,,M,Uri & Kiko,Men,56:10.1,56:10.1,+19:00.9
Finished,167,75,44-2,Yaacov Saar Idan,ISR,no,,M,Uri & Kiko,Men,56:10.1,56:10.1,+19:00.9
Finished,168,18,518-1,Nir Sever,ISR,no,,M,CCC-GeryATeam,Grand Masters,56:16.1,56:16.1,+19:06.9
Finished,168,18,518-2,Muky Faingezicht,ISR,no,,M,CCC-GeryATeam,Grand Masters,56:16.1,56:16.1,+19:06.9
Finished,169,57,332-1,Gil Musri,ISR,no,,M,Amit&Gil,Masters,56:17.2,56:17.2,+19:08.0
Finished,169,57,332-2,Amit Tropper,ISR,no,,M,Amit&Gil,Masters,56:17.2,56:17.2,+19:08.0
Finished,170,19,535-1,Izhar Jona,ISR,no,,M,500WATT,Grand Masters,56:21.9,56:21.9,+19:12.7
Finished,170,19,535-2,Zion Sipouren,ISR,no,,M,500WATT,Grand Masters,56:21.9,56:21.9,+19:12.7
Finished,171,58,330-1,Nitzan Eshed,ISR,no,,M,TEAM ESHED,Masters,56:31.5,56:31.5,+19:22.3
Finished,171,58,330-2,Miron Eshed,ISR,no,,M,TEAM ESHED,Masters,56:31.5,56:31.5,+19:22.3
Finished,172,59,318-1,Gonen Wilf,ISR,no,,M,GWGZ,Masters,56:33.1,56:33.1,+19:23.9
Finished,172,59,318-2,Tal Gamzu,ISR,no,,M,GWGZ,Masters,56:33.1,56:33.1,+19:23.9
Finished,173,60,319-1,Assaf Shacham,ISR,no,,M,GCZ-MTB,Masters,56:40.7,56:40.7,+19:31.5
Finished,173,60,319-2,Alon Erez,ISR,no,,M,GCZ-MTB,Masters,56:40.7,56:40.7,+19:31.5
Finished,174,61,334-1,Yaniv Alon,ISR,no,,M,Fast Forward,Masters,56:43.5,56:43.5,+19:34.3
Finished,174,61,334-2,Boaz Sokol,ISR,no,,M,Fast Forward,Masters,56:43.5,56:43.5,+19:34.3
Finished,175,62,368-1,Haim Solomon,ISR,no,,M,TBW-Gadi-Haim,Masters,56:49.5,56:49.5,+19:40.3
Finished,175,62,368-2,Gadi Sade,ISR,no,,M,TBW-Gadi-Haim,Masters,56:49.5,56:49.5,+19:40.3
Finished,176,76,66-1,Sharon Leonzini,ISR,no,,M,^Leon,Men,56:50.6,56:50.6,+19:41.4
Finished,176,76,66-2,Leonid Chapaev,ISR,no,,M,^Leon,Men,56:50.6,56:50.6,+19:41.4
Finished,177,63,356-1,Eyal Michaely,ISR,no,,M,itay@eyal,Masters,56:51.2,56:51.2,+19:42.0
Finished,177,63,356-2,Itay Teperberg,ISR,no,,M,itay@eyal,Masters,56:51.2,56:51.2,+19:42.0
Finished,178,64,353-1,Ronen Pinhas,ISR,no,,M,RORA,Masters,56:52.7,56:52.7,+19:43.5
Finished,178,64,353-2,Ran Tavor,ISR,no,,M,RORA,Masters,56:52.7,56:52.7,+19:43.5
Finished,179,65,386-1,Tomer Nobel,ISR,no,,M,Team Physiother,Masters,56:55.4,56:55.4,+19:46.2
Finished,179,65,386-2,Ilan Kurz,ISR,no,,M,Team Physiother,Masters,56:55.4,56:55.4,+19:46.2
Finished,180,8,214-1,Sharon Vardi,ISR,no,,M,GORDONIA,Mixed,56:57.4,56:57.4,+19:48.2
Finished,180,8,214-2,Leeat Atkins,ISR,no,,F,GORDONIA,Mixed,56:57.4,56:57.4,+19:48.2
Finished,181,66,312-1,Tomer Osher,ISR,no,,M,Team Snoopy,Masters,57:05.7,57:05.7,+19:56.5
Finished,181,66,312-2,Amit Adar,ISR,no,,M,Team Snoopy,Masters,57:05.7,57:05.7,+19:56.5
Finished,182,20,530-1,Ohad Saban,ISR,no,,M,Asaf&Ohad,Grand Masters,57:07.6,57:07.6,+19:58.4
Finished,182,20,530-2,Asaf Ben Michael,ISR,no,,M,Asaf&Ohad,Grand Masters,57:07.6,57:07.6,+19:58.4
Finished,183,21,509-1,Joerg Riedl,GER,no,,M,Maloja - Rocky Mountain Team,Grand Masters,57:09.1,57:09.1,+19:59.9
Finished,183,21,509-2,Steffen Allert,GER,no,,M,Maloja - Rocky Mountain Team,Grand Masters,57:09.1,57:09.1,+19:59.9
Finished,184,77,91-1,David Schwartz,ISR,no,,M,Team MS,Men,57:09.9,57:09.9,+20:00.7
Finished,184,77,91-2,Alex Reitbort,ISR,no,,M,Team MS,Men,57:09.9,57:09.9,+20:00.7
Finished,185,67,314-1,Guy Shalev,ISR,no,,M,Team Bike Way,Masters,57:11.5,57:11.5,+20:02.3
Finished,185,67,314-2,Ori Levi,ISR,no,,M,Team Bike Way,Masters,57:11.5,57:11.5,+20:02.3
Finished,186,78,57-1,Lior Battat,ISR,no,,M,B -team,Men,57:16.3,57:16.3,+20:07.1
Finished,186,78,57-2,Aviram Battat,ISR,no,,M,B -team,Men,57:16.3,57:16.3,+20:07.1
Finished,187,79,53-1,Fima Ulitski,ISR,no,,M,Yoni and Fima,Men,57:28.6,57:28.6,+20:19.4
Finished,187,79,53-2,Yoni Herbesman,ISR,no,,M,Yoni and Fima,Men,57:28.6,57:28.6,+20:19.4
Finished,188,68,373-1,Gil Ashery,ISR,no,,M,HeziGil,Masters,57:31.2,57:31.2,+20:22.0
Finished,188,68,373-2,Hezi Sayar,ISR,no,,M,HeziGil,Masters,57:31.2,57:31.2,+20:22.0
Finished,189,69,343-1,Tzach Cohen,ISR,no,,M,500watt,Masters,57:45.9,57:45.9,+20:36.7
Finished,189,69,343-2,Yoav Horowitz,ISR,no,,M,500watt,Masters,57:45.9,57:45.9,+20:36.7
Finished,190,70,333-1,Doron Masvary,ISR,no,,M,CCC,Masters,57:50.2,57:50.2,+20:41.0
Finished,190,70,333-2,Gil Zeller,ISR,no,,M,CCC,Masters,57:50.2,57:50.2,+20:41.0
Finished,191,71,349-1,Kobi Yaffe,ISR,no,,M,Menashkes Beer,Masters,58:01.2,58:01.2,+20:52.0
Finished,191,71,349-2,Paz Bernart,ISR,no,,M,Menashkes Beer,Masters,58:01.2,58:01.2,+20:52.0
Finished,192,9,223-1,Doron Amitz,ISR,no,,M,Bike Israel Cycling LTD,Mixed,58:06.9,58:06.9,+20:57.7
Finished,192,9,223-2,Adi Vainiger,ISR,no,,F,Bike Israel Cycling LTD,Mixed,58:06.9,58:06.9,+20:57.7
Finished,193,10,207-1,Amir Shub,USA,no,,M,SWish,Mixed,58:10.7,58:10.7,+21:01.5
Finished,193,10,207-2,Hadas Weiss,ISR,no,,F,SWish,Mixed,58:10.7,58:10.7,+21:01.5
Finished,194,22,534-1,Amir Stein,ISR,no,,M,Misgav Agalot,Grand Masters,58:11.1,58:11.1,+21:01.9
Finished,194,22,534-2,Dror Nagel,ISR,no,,M,Misgav Agalot,Grand Masters,58:11.1,58:11.1,+21:01.9
Finished,195,23,529-1,Ram Golombik,ISR,no,,M,Yoni & Ram,Grand Masters,58:23.3,58:23.3,+21:14.1
Finished,195,23,529-2,Yoni Deshe,ISR,no,,M,Yoni & Ram,Grand Masters,58:23.3,58:23.3,+21:14.1
Finished,196,24,536-1,Yehonatan Peri,ISR,no,,M,Yakintan,Grand Masters,58:31.4,58:31.4,+21:22.2
Finished,196,24,536-2,Yakir Nirgad,ISR,no,,M,Yakintan,Grand Masters,58:31.4,58:31.4,+21:22.2
Finished,197,11,211-1,Shahar Dahan,ISR,no,,M,Mom&Dad Racing Team,Mixed,58:33.9,58:33.9,+21:24.7
Finished,197,11,211-2,Hadas Dahan,ISR,no,,F,Mom&Dad Racing Team,Mixed,58:33.9,58:33.9,+21:24.7
Finished,198,72,367-1,Vlad Ramkovich,ISR,no,,M,VO,Masters,58:49.4,58:49.4,+21:40.2
Finished,198,72,367-2,Oleg Tchernishov,ISR,no,,M,VO,Masters,58:49.4,58:49.4,+21:40.2
Finished,199,25,505-1,Hans Planckaert,BEL,no,,M,Forestière-Rotwild-Agu Racing Team,Grand Masters,58:50.9,58:50.9,+21:41.7
Finished,199,25,505-2,René Vallée,FRA,no,,M,Forestière-Rotwild-Agu Racing Team,Grand Masters,58:50.9,58:50.9,+21:41.7
Finished,200,80,89-1,Waseem Hussein,ISR,no,,M,Shfaram riders,Men,58:53.6,58:53.6,+21:44.4
Finished,200,80,89-2,Bassam Talhamy,ISR,no,,M,Shfaram riders,Men,58:53.6,58:53.6,+21:44.4
Finished,201,26,525-1,Nir Naveh,ISR,no,,M,The porcupines,Grand Masters,59:06.6,59:06.6,+21:57.4
Finished,201,26,525-2,Hugo Jan Trago,NED,no,,M,The porcupines,Grand Masters,59:06.6,59:06.6,+21:57.4
Finished,202,81,93-1,Christopher Opetnik,AUT,no,,M,Austria,Men,59:07.1,59:07.1,+21:57.9
Finished,202,81,93-2,Markus Simschitz,AUT,no,,M,Austria,Men,59:07.1,59:07.1,+21:57.9
Finished,203,82,41-1,Ido Lippmann,ISR,no,,M,lippmann-golan,Men,59:18.8,59:18.8,+22:09.6
Finished,203,82,41-2,Tal Golan,ISR,no,,M,lippmann-golan,Men,59:18.8,59:18.8,+22:09.6
Finished,204,73,366-1,Lior Meidan,ISR,no,,M,Hoad lion heart,Masters,59:23.2,59:23.2,+22:14.0
Finished,204,73,366-2,Erez Winshtat,ISR,no,,M,Hoad lion heart,Masters,59:23.2,59:23.2,+22:14.0
Finished,205,12,216-1,Tzvika Gefen,ISR,no,,M,the tigers,Mixed,59:27.4,59:27.4,+22:18.2
Finished,205,12,216-2,Limor Damti,ISR,no,,F,the tigers,Mixed,59:27.4,59:27.4,+22:18.2
Finished,206,83,37-1,Samuel Attali,ISR,no,,M,Oakley Gili Optic,Men,59:28.8,59:28.8,+22:19.6
Finished,206,83,37-2,Geva Yehoshua,ISR,no,,M,Oakley Gili Optic,Men,59:28.8,59:28.8,+22:19.6
Finished,207,74,336-1,Ido Carmon,ISR,no,,M,Tamir&Ido,Masters,59:35.7,59:35.7,+22:26.5
Finished,207,74,336-2,Tamir Jacobson,ISR,no,,M,Tamir&Ido,Masters,59:35.7,59:35.7,+22:26.5
Finished,208,75,325-1,Michael Shkolnik,ISR,no,,M,M&M,Masters,59:42.2,59:42.2,+22:33.0
Finished,208,75,325-2,Mordi Kuperman,ISR,no,,M,M&M,Masters,59:42.2,59:42.2,+22:33.0
Finished,209,84,64-1,Aviram Gotlib,ISR,no,,M,,Men,59:48.1,59:48.1,+22:38.9
Finished,209,84,64-2,Nadav Gotlib,ISR,no,,M,,Men,59:48.1,59:48.1,+22:38.9
Finished,210,85,71-1,Haroon Kataz,ISR,no,,M,ADIGA RIDERS,Men,59:49.8,59:49.8,+22:40.6
Finished,210,85,71-2,Yanal Shogen,ISR,no,,M,ADIGA RIDERS,Men,59:49.8,59:49.8,+22:40.6
Finished,211,76,371-1,Tamir Mor,ISR,no,,M,Dere Dere,Masters,59:51.7,59:51.7,+22:42.5
Finished,211,76,371-2,Dror Huber,ISR,no,,M,Dere Dere,Masters,59:51.7,59:51.7,+22:42.5
Finished,212,77,395-1,David Elhiany,ISR,no,,M,avidan&david,Masters,59:56.5,59:56.5,+22:47.3
Finished,212,77,395-2,Avidan Asaraf,ISR,no,,M,avidan&david,Masters,59:56.5,59:56.5,+22:47.3
Finished,213,78,393-1,Yossi Asulin,ISR,no,,M,TeamFun,Masters,1:00:02.2,1:00:02.2,+22:53.0
Finished,213,78,393-2,Boris Bresh,ISR,no,,M,TeamFun,Masters,1:00:02.2,1:00:02.2,+22:53.0
Finished,214,79,364-1,Udi Abas,ISR,no,,M,MOUNTAIN GOAT,Masters,1:00:10.9,1:00:10.9,+23:01.7
Finished,214,79,364-2,Bashier Amar,ISR,no,,M,MOUNTAIN GOAT,Masters,1:00:10.9,1:00:10.9,+23:01.7
Finished,215,80,347-1,Alexey Migranov,ISR,no,,M,Scalpels,Masters,1:00:13.5,1:00:13.5,+23:04.3
Finished,215,80,347-2,Jean- Paul Lecaros,ISR,no,,M,Scalpels,Masters,1:00:13.5,1:00:13.5,+23:04.3
Finished,216,86,81-1,Eyal Tareef,ISR,no,,M,Julis warriors,Men,1:00:18.3,1:00:18.3,+23:09.1
Finished,216,86,81-2,Moran Amar,ISR,no,,M,Julis warriors,Men,1:00:18.3,1:00:18.3,+23:09.1
Finished,217,87,36-1,Aryeh Shalev,ISR,no,,M,BA LA GAN,Men,1:00:18.3,1:00:18.3,+23:09.1
Finished,217,87,36-2,Evgeny Galsky,ISR,no,,M,BA LA GAN,Men,1:00:18.3,1:00:18.3,+23:09.1
Finished,218,81,346-1,Zeev Bozhko,ISR,no,,M,old cranks,Masters,1:00:30.7,1:00:30.7,+23:21.5
Finished,218,81,346-2,Shay Cahal,ISR,no,,M,old cranks,Masters,1:00:30.7,1:00:30.7,+23:21.5
Finished,219,13,219-1,Alon Schaffer,ISR,no,,M,Tehilon,Mixed,1:00:35.2,1:00:35.2,+23:26.0
Finished,219,13,219-2,Tehila Wolf Schaffer,ISR,no,,F,Tehilon,Mixed,1:00:35.2,1:00:35.2,+23:26.0
Finished,220,27,520-1,Menahem Singer,ISR,no,,M,Pulp fiction,Grand Masters,1:00:44.9,1:00:44.9,+23:35.7
Finished,220,27,520-2,Eldad Meiron,ISR,no,,M,Pulp fiction,Grand Masters,1:00:44.9,1:00:44.9,+23:35.7
