אינדורו פרו
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
21,244,מארק גייסינסקי ,3:32.292,3:31.468,3:31.468,36.578
22,158,עדן אפרים ,3:33.800,3:35.945,3:33.800,38.910
23,161,גלעד שגב ,3:43.168,3:37.767,3:37.767,42.877
24,224,סהר אביבי ,3:46.300,3:38.075,3:38.075,43.185
25,168,צוף ברון ,3:38.413,3:38.515,3:38.413,43.523
26,160,יניר הראל ,3:44.143,3:40.700,3:40.700,45.810
27,159,נועם קזס ,,3:45.320,3:45.320,50.430
28,163,אהוד חמו ,3:56.541,3:45.962,3:45.962,51.072
29,143,שחר פלג ,4:32.630,,4:32.630,1:37.740
לא סיים - מקצה 2 - DNF
,164,רון דני ,3:18.642,,,
ספרינט 16-19
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,169,נדב דוברת ,2:52.927,2:50.223,2:50.223,
2,225,רון פרידריך ,2:56.477,2:52.368,2:52.368,2.145
3,175,יובל קרון ,5:23.023,2:57.750,2:57.750,7.527
4,183,גור שמבן ,3:07.729,3:04.829,3:04.829,14.606
5,186,עידו תג'ר ,3:17.951,3:10.545,3:10.545,20.322
6,180,גל אברהמי ,3:11.251,3:12.190,3:11.251,21.028
7,170,נדב שפירא ,3:12.305,3:27.858,3:12.305,22.082
8,173,אורי מגנזי ,,3:13.264,3:13.264,23.041
9,191,סלע גרוס ,3:18.055,,3:18.055,27.832
10,181,עומר גלעדי ,3:22.139,3:23.472,3:22.139,31.916
11,182,יאן בן ברוך ,3:26.353,3:30.920,3:26.353,36.130
12,176,שי כהן סולל עמר ,4:46.214,4:30.247,4:30.247,1:40.024
לא סיים - מקצה 1 - DNF
,173,אורי מגנזי ,,3:13.264,,
ספרינט 20-29
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,196,אלמוג אלפומה ,2:54.675,,2:54.675,
2,192,גל שטמלר ,3:18.443,2:55.650,2:55.650,0.975
3,194,דולב אביזמר ,3:03.056,3:00.667,3:00.667,5.992
לא סיים - מקצה 2 - DNF
,196,אלמוג אלפומה ,2:54.675,,,
ספרינט 30-39
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,197,אסף סיני ,3:07.492,3:07.325,3:07.325,
2,54,מורן קבסה ,3:08.751,3:09.681,3:08.751,1.426
3,227,אסי שטרית ,3:14.388,3:11.465,3:11.465,4.140
ספרינט 40-49
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,231,ירון רפופורט ,3:14.115,3:12.442,3:12.442,
2,199,ירון דותן ,3:14.146,3:12.987,3:12.987,0.545
3,240,יפתח סער ,3:19.932,,3:19.932,7.490
4,200,דני לוי ,3:40.187,3:32.444,3:32.444,20.002
ספרינט 50+
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,201,רונן רמתי ,3:17.653,3:18.475,3:17.653,
