אנדורו
מרוץ 5 עונת 2017 - יער צרעה - 10-11-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
98,600,602,230,,,,,,,
99,222,221,,,,,,,,
100,229,911,,,,,,,,
101,602,176,,,,,,,,
102,196,229,,,,,,,,
103,722,81,,,,,,,,
104,150,108,,,,,,,,
105,221,196,,,,,,,,
106,911,510,,,,,,,,
107,313,230,,,,,,,,
108,510,41,,,,,,,,
109,253,244,,,,,,,,
110,81,202,,,,,,,,
111,230,222,,,,,,,,
112,244,,,,,,,,,
113,202,,,,,,,,,
114,506,,,,,,,,,
115,41,,,,,,,,,
116,921,,,,,,,,,
117,82,,,,,,,,,
ג'וניורס מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,עונשין,זמן,פער
1,40,רז עידן,9,6:56.919,-,1:04:18.597,-
2,10,בועז סאסי,9,7:13.195,-,1:07:43.972,3:25.375
3,460,ענבר זלנגר,8,7:30.432,-,1:02:04.757,1 הקפה
4,137,שחר שי,8,7:44.404,-,1:08:35.986,1 הקפה
5,66,אור זרקו,8,7:48.273,-,P 1:08:58.362,1 הקפה
6,8,שקד כהן,7,8:11.438,-,1:02:00.296,2 הקפות
7,24,איתמר אוזון,7,8:31.564,-,1:05:03.004,2 הקפות
8,77,ארז מלמן,6,8:40.214,-,1:01:15.068,3 הקפות
9,115,מעיין עוזיאל,6,9:53.656,-,1:09:37.780,3 הקפות
10,514,דרור אדיר,6,10:13.134,-,1:09:46.231,3 הקפות
11,119,ניב הימן,4,13:45.313,-,1:08:33.152,5 הקפות
12,210,איתי ברזין,4,15:25.199,-,1:19:28.509,5 הקפות
לא סיים - DNF
,44,ניב סבן,2,7:24.141,-,14:46.085,7 הקפות
הקפה מהירה: (40) רז עידן - 6:56.919
סופר ג'וניורס
מקום,מספר,שם,הקפות,הקפה מהירה,עונשין,זמן,פער
1,1,בן אלמגור,8,7:27.361,-,1:04:03.566,-
2,27,אופיר קייסי צמח,7,7:38.387,-,1:02:55.149,1 הקפה
3,517,רן שמאי,6,8:59.003,-,1:06:15.157,2 הקפות
4,3,עומרי בנימין,5,10:06.305,-,1:07:48.137,3 הקפות
הקפה מהירה: (1) בן אלמגור - 7:27.361
סופר ג'וניורס מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,עונשין,זמן,פער
1,109,איתי וינברג,13,2:46.532,10.000,P 40:30.788,-
2,888,יותם עוזיאל,13,2:49.067,-,40:32.566,1.778
3,48,שי אשכנזי,12,3:04.467,-,41:41.642,1 הקפה
4,7,נדב ברדה,11,3:05.818,-,41:16.124,2 הקפות
5,4,יריב נתנוב,10,3:23.892,-,40:24.535,3 הקפות
6,5,רועי סבג,9,3:36.633,-,41:15.440,4 הקפות
הקפה מהירה: (109) איתי וינברג - 2:46.532
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,הקפה 13
1,888,888,109,109,109,109,109,109,109,109,109,109,109
2,109,109,888,888,888,888,888,888,888,888,888,888,888
3,7,7,7,7,7,7,7,7,7,48,48,48,
4,48,5,48,48,48,48,48,48,48,7,7,,
5,5,48,4,4,4,4,4,4,4,4,,,
6,4,4,5,5,5,5,5,5,5,,,,
7,40,40,40,40,40,40,40,40,40,,,,
8,44,44,10,10,10,10,10,10,10,,,,
9,460,10,460,460,460,460,460,460,,,,,
10,10,460,1,66,66,1,1,1,,,,,
11,66,66,137,137,137,27,137,137,,,,,
12,1,1,66,1,1,137,66,66,,,,,
13,27,27,27,27,27,66,8,,,,,,
14,137,137,8,8,8,8,27,,,,,,
15,24,24,24,24,24,24,24,,,,,,
16,77,8,77,77,77,77,,,,,,,
17,8,77,514,517,517,517,,,,,,,
18,514,514,517,514,115,115,,,,,,,
19,3,517,3,3,514,514,,,,,,,
20,115,3,115,115,3,,,,,,,,
21,517,115,210,119,,,,,,,,,
22,210,210,119,210,,,,,,,,,
23,119,119,,,,,,,,,,,
