מוטוקרוס
מרוץ 4 עונת 2017 - וינגייט - 02-09-2017

MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
7,21,נטע שמידוב,3,9:57.900,1:14.996,4 הקפות
הקפה מהירה: (100) רן יוחאי - 1:13.389

סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,1,בן אלמגור,7,10:10.882,1:15.047,-
2,27,אופיר צמח,7,10:23.167,1:15.762,12.285
3,100,אוראן אוחנה,6,10:19.413,1:25.066,1 הקפה
4,6,אלעד צפר,6,10:25.704,1:29.088,1 הקפה
5,2,דודי שמואלי,6,10:26.336,1:27.051,1 הקפה
לא סיים - DNF
,48,שי אשכנזי,4,8:52.963,1:27.170,3 הקפות
הקפה מהירה: (1) בן אלמגור - 1:15.047

סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,1,בן אלמגור,7,9:45.339,1:15.802,-
2,27,אופיר צמח,7,9:49.048,1:15.578,3.709
3,100,אוראן אוחנה,6,9:51.469,1:25.610,1 הקפה
4,2,דודי שמואלי,6,10:05.069,1:25.084,1 הקפה
5,48,שי אשכנזי,6,10:47.737,1:24.390,1 הקפה
6,6,אלעד צפר,6,10:51.832,1:30.796,1 הקפה
הקפה מהירה: (27) אופיר צמח - 1:15.578

ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,33,גיל זרקו,11,13:19.943,1:06.040,-
2,4,ניב סבן,11,14:09.250,1:09.066,49.307
3,108,שי ספקטור,11,14:20.619,1:08.154,1:00.676
4,121,גל אזולאי,10,13:21.288,1:12.044,1 הקפה
5,66,אור זרקו,10,13:32.112,1:11.697,1 הקפה
6,5,ארז צפר,10,13:40.355,1:11.414,1 הקפה
7,77,ארז מלמן,10,13:56.654,1:15.295,1 הקפה
8,26,עמר רוזנבלום,10,14:10.308,1:13.824,1 הקפה
9,46,יוסף מאיר,10,14:30.078,1:15.997,1 הקפה
10,14,יובל כהן,9,13:49.336,1:21.171,2 הקפות
11,85,גב בן ברוך,9,13:56.540,1:21.766,2 הקפות
12,185,איתי אביבי,9,14:38.214,1:23.684,2 הקפות
13,119,ניב הימן,8,13:44.203,1:30.288,3 הקפות
14,22,אכרם אל חמידי,6,14:42.680,1:08.493,5 הקפות
לא סיים - DNF
,238,איתאי וקנין,9,13:09.880,1:24.663,2 הקפות
,51,רואי חצרוני,8,13:15.089,1:22.029,3 הקפות
הקפה מהירה: (33) גיל זרקו - 1:06.040

ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,33,גיל זרקו,10,12:24.401,1:07.426,-
2,108,שי ספקטור,10,12:56.113,1:08.865,31.712
3,4,ניב סבן,10,13:03.390,1:10.869,38.989
4,66,אור זרקו,10,13:14.462,1:11.478,50.061
5,22,אכרם אל חמידי,10,13:16.997,1:12.232,52.596
6,121,גל אזולאי,10,13:29.285,1:12.309,1:04.884
7,77,ארז מלמן,10,13:36.715,1:13.440,1:12.314
8,26,עמר רוזנבלום,10,13:37.128,1:13.815,1:12.727
9,5,ארז צפר,9,12:37.863,1:12.283,1 הקפה
10,46,יוסף מאיר,9,13:26.934,1:19.982,1 הקפה
11,51,רואי חצרוני,9,13:42.612,1:20.276,1 הקפה
12,85,גב בן ברוך,9,13:45.963,1:21.555,1 הקפה
13,14,יובל כהן,8,13:00.613,1:23.237,2 הקפות
14,185,איתי אביבי,8,13:42.345,1:27.271,2 הקפות
15,119,ניב הימן,8,13:46.148,1:27.228,2 הקפות
לא סיים - DNF
,238,איתאי וקנין,3,5:51.160,1:28.968,7 הקפות
הקפה מהירה: (33) גיל זרקו - 1:07.426

© כל הזכויות שמורות לתנועה מדידת זמנים
