אנדורו - היירסקרמבל
מרוץ 3 עונת 2017 - יער כרמים - 16-09-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
2,200,109,109,109,109,200,109,109,200,200,888,888,888,200,200,109,109,109,109,109,
3,40,888,888,888,888,888,888,888,888,888,109,109,109,109,888,888,888,888,888,888,
4,460,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,
5,113,460,113,113,113,460,460,460,460,460,460,460,460,10,10,,,,,,
6,888,113,460,460,460,113,113,10,10,10,10,10,10,460,460,,,,,,
7,66,66,10,10,10,10,10,113,113,113,113,113,113,44,,,,,,,
8,44,10,66,66,44,44,44,44,44,44,44,44,44,113,,,,,,,
9,10,44,67,44,66,66,66,27,1,66,66,66,66,66,,,,,,,
10,1,27,44,27,27,27,27,66,66,34,34,34,34,,,,,,,,
11,34,1,27,67,67,67,1,1,27,67,67,67,,,,,,,,,
12,27,34,1,1,1,1,34,34,34,59,59,59,,,,,,,,,
13,67,67,34,34,34,34,67,67,67,,,,,,,,,,,,
14,59,59,59,59,59,59,59,59,59,,,,,,,,,,,,
15,77,77,77,77,77,77,77,77,77,,,,,,,,,,,,
16,115,48,119,119,119,,,,,,,,,,,,,,,,
17,48,119,48,,,,,,,,,,,,,,,,,,
18,119,,,,,,,,,,,,,,,,,,,,
