אנדורו
מרוץ 1 עונת 2017 - אום זוקא - 31-12-2016
E1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10
1,22,22,22,8,8,22,22,22,22,22
2,5,767,767,22,22,767,767,5,5,5
3,88,5,8,767,767,5,5,25,25,25
4,767,88,5,5,5,25,25,88,88,88
5,25,8,88,88,88,88,88,18,18,94
6,18,25,25,18,25,18,18,844,94,4
7,844,844,4,25,18,94,844,767,4,844
8,8,18,18,844,94,844,94,4,844,19
9,94,4,844,4,4,4,4,94,19,18
10,19,94,94,94,844,8,19,19,767,767
11,4,2,19,19,19,19,2,2,2,
12,2,19,2,2,2,2,3,3,3,
13,3,3,3,3,3,3,61,61,61,
14,61,61,61,61,61,61,100,355,355,
15,9,100,100,100,100,100,355,100,247,
16,60,9,7,7,7,355,247,247,100,
17,100,247,247,247,247,247,60,7,60,
18,247,7,60,60,355,60,7,60,7,
19,7,60,9,355,60,7,9,9,9,
20,355,217,217,217,9,9,818,85,,
21,217,355,355,9,818,818,85,222,,
22,85,818,818,818,103,103,146,146,,
23,224,85,85,901,901,144,222,,,
24,72,901,901,103,888,888,,,,
25,901,125,103,85,125,125,,,,
26,818,56,125,125,144,56,,,,
27,56,888,56,888,56,72,,,,
28,125,103,888,56,85,135,,,,
29,888,224,28,144,72,95,,,,
30,30,135,123,123,123,89,,,,
31,403,28,135,28,135,123,,,,
32,146,123,144,135,89,85,,,,
33,28,144,89,89,95,555,,,,
34,130,403,95,95,130,130,,,,
35,103,89,403,72,403,117,,,,
36,89,130,130,130,555,111,,,,
37,135,95,72,403,111,28,,,,
38,222,146,555,111,117,403,,,,
39,123,91,111,117,28,212,,,,
40,46,86,117,555,91,91,,,,
41,285,285,91,91,146,79,,,,
42,111,212,86,146,79,447,,,,
43,86,117,146,79,212,285,,,,
44,144,111,224,86,86,146,,,,
45,212,46,79,110,285,86,,,,
46,65,555,447,212,447,128,,,,
47,91,392,46,285,110,110,,,,
48,35,72,110,447,128,392,,,,
49,117,35,285,46,46,99,,,,
50,555,79,212,128,99,46,,,,
51,95,110,128,260,35,35,,,,
52,392,447,35,83,392,80,,,,
53,909,128,83,745,80,222,,,,
54,110,745,745,35,222,76,,,,
55,79,909,260,99,76,17,,,,
56,54,54,99,253,17,904,,,,
57,447,83,253,222,904,909,,,,
58,930,253,909,392,777,54,,,,
59,276,260,222,80,54,930,,,,
60,227,80,54,112,909,26,,,,
61,128,930,112,224,930,777,,,,
62,253,222,904,909,26,30,,,,
63,17,26,392,54,276,,,,,
64,80,99,97,17,71,,,,,
65,904,777,80,97,227,,,,,
66,745,904,930,904,45,,,,,
67,260,227,17,76,910,,,,,
68,777,97,777,930,881,,,,,
69,83,112,26,777,582,,,,,
70,934,276,276,118,820,,,,,
71,112,17,118,26,224,,,,,
72,26,98,227,276,147,,,,,
73,910,76,76,211,205,,,,,
74,97,118,98,71,30,,,,,
75,147,211,211,227,262,,,,,
76,881,71,71,98,,,,,,
77,76,934,934,55,,,,,,
78,225,55,55,45,,,,,,
79,71,881,45,910,,,,,,
80,99,81,666,934,,,,,,
81,211,582,820,666,,,,,,
82,98,666,910,820,,,,,,
83,582,262,881,881,,,,,,
84,55,45,81,582,,,,,,
85,81,618,618,147,,,,,,
86,618,820,582,205,,,,,,
87,869,147,205,262,,,,,,
88,118,910,147,30,,,,,,
89,820,205,262,164,,,,,,
90,666,13,13,151,,,,,,
91,262,243,243,,,,,,,
92,45,221,221,,,,,,,
93,205,999,999,,,,,,,
94,243,225,16,,,,,,,
95,13,164,333,,,,,,,
96,15,333,15,,,,,,,
97,999,16,164,,,,,,,
98,221,527,6,,,,,,,
99,333,6,527,,,,,,,
100,164,15,30,,,,,,,
101,151,151,175,,,,,,,
102,527,175,151,,,,,,,
103,6,30,444,,,,,,,
104,57,20,,,,,,,,
105,16,444,,,,,,,,
106,175,,,,,,,,,
107,20,,,,,,,,,
108,444,,,,,,,,,
ג'וניורס מקצועי
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,47,סוף סלע,12,1:05:10.068,,5:07.355
2,33,גיל זרקו,11,1:02:05.246,1 הקפה,5:18.986
3,11,גיא נורסלע,10,1:01:35.035,2 הקפות,5:37.208
