אנדורו
מרוץ 5 עונת 2016 - גבעת המורה - 16-04-2016

מקצועית E1
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12
1,5,8,8,8,8,8,8,8,8,8,8,8
2,8,5,5,5,5,5,5,5,5,5,5,
3,94,94,22,22,22,22,22,94,94,94,94,
4,25,22,94,94,94,94,94,22,22,22,22,
5,22,25,25,25,25,25,25,25,25,25,25,
6,2,747,747,747,747,747,747,747,747,747,747,
7,747,2,2,2,2,2,2,2,2,2,,
8,15,102,102,102,15,15,68,68,68,15,,
9,19,15,15,15,68,68,15,15,15,68,,
10,102,19,68,68,19,19,19,19,19,19,,
11,217,29,19,19,65,65,65,65,102,102,,
12,29,68,51,65,29,217,102,102,29,29,,
13,901,125,29,29,217,29,29,29,85,85,,
14,561,71,65,125,125,102,61,85,,,,
15,125,51,125,217,350,350,350,,,,,
16,71,901,85,350,102,125,125,,,,,
17,85,65,71,85,85,61,85,,,,,
18,51,561,217,61,61,85,222,,,,,
19,68,85,561,71,71,71,71,,,,,
20,65,217,350,130,91,222,91,,,,,
21,130,130,61,561,130,91,103,,,,,
22,27,350,901,91,247,130,130,,,,,
23,86,676,130,901,222,247,247,,,,,
24,23,61,247,247,901,103,901,,,,,
25,676,247,79,79,103,901,18,,,,,
26,247,91,91,222,561,57,57,,,,,
27,350,79,57,57,57,561,561,,,,,
28,616,57,676,103,100,18,100,,,,,
29,28,27,222,616,18,100,616,,,,,
30,61,616,616,165,616,616,165,,,,,
31,57,103,103,100,165,165,111,,,,,
32,79,222,165,676,23,27,27,,,,,
33,91,23,100,23,78,111,23,,,,,
34,165,165,23,18,27,23,312,,,,,
35,103,904,27,27,777,312,79,,,,,
36,904,100,111,78,111,79,905,,,,,
37,222,111,18,111,312,905,86,,,,,
38,78,18,78,777,79,86,217,,,,,
39,18,28,28,312,905,127,,,,,,
40,111,905,777,905,92,131,,,,,,
41,100,86,312,86,447,904,,,,,,
42,312,78,905,92,86,98,,,,,,
43,905,312,86,447,127,910,,,,,,
44,207,92,92,207,131,202,,,,,,
45,131,777,447,127,904,869,,,,,,
46,202,207,207,276,98,,,,,,,
47,777,447,910,131,910,,,,,,,
48,92,131,276,81,202,,,,,,,
49,447,202,131,98,869,,,,,,,
50,311,276,202,202,500,,,,,,,
51,276,910,127,904,,,,,,,,
52,910,98,98,910,,,,,,,,
53,98,81,81,96,,,,,,,,
54,81,500,500,869,,,,,,,,
55,500,127,904,34,,,,,,,,
56,191,260,869,500,,,,,,,,
57,96,869,34,69,,,,,,,,
58,127,34,96,,,,,,,,,
59,260,181,69,,,,,,,,,
60,869,191,260,,,,,,,,,
61,181,96,181,,,,,,,,,
62,34,69,,,,,,,,,,
63,69,,,,,,,,,,,

ג'וניורס מקצועית
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,47,סוף סלע,9,01:00:15.793,,6:06.745
2,11,גיא נורסלע,9,01:02:15.074,1:59.281,6:27.084
3,160,הראל מלמן,9,01:05:47.461,5:31.668,7:00.052
4,321,איתי דוב,9,01:06:49.710,6:33.917,6:52.028
5,392,רום ברבי,8,01:00:52.777,1 הקפה,7:00.304
הקפה מהירה: (47) סוף סלע - 6:06.745
ג'וניורס מתחילים
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,32,שלו וקנין,9,01:06:31.880,,7:07.726
2,17,הראל הימן,8,01:00:59.256,1 הקפה,7:09.012
3,21,יהב פייגין,8,01:01:39.803,1 הקפה,7:18.731
4,157,עוז נהוראי,8,01:03:43.596,1 הקפה,7:44.888
5,45,שי אביגדור,7,01:00:05.351,2 הקפות,7:14.182
6,12,גילעד הימן,7,01:05:29.736,2 הקפות,7:47.069
7,150,רן יוחאי,5,01:09:43.118,4 הקפות,9:38.139
8,13,אורי עזרא,4,01:02:02.876,5 הקפות,11:23.147
9,16,בועז ססי,4,01:02:03.512,5 הקפות,11:21.913
10,40,רז עידן,4,01:03:22.929,5 הקפות,7:59.617
הקפה מהירה: (32) שלו וקנין - 7:07.726
סופר ג'וניורס
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,66,אור זרקו,9,42:22.955,,4:15.955
2,1,בן אלמגור,9,43:52.272,1:29.317,4:22.373
3,299,אילי ביבי,8,40:00.794,1 הקפה,4:16.723
4,72,איתמר אוזון,8,42:11.749,1 הקפה,4:38.359
5,77,ארז מלמן,6,41:09.200,3 הקפות,5:54.574
6,31,איתמר ברדה,5,45:44.483,4 הקפות,6:08.371
הקפה מהירה: (66) אור זרקו - 4:15.955
סופר ג'וניורס STOMP
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,119,ניב הימן,3,47:10.078,,13:47.345
הקפה מהירה: (119) ניב הימן - 13:47.345

מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9
1,66,66,66,66,66,66,66,66,66
2,1,1,1,1,1,1,1,1,1
3,47,299,299,72,299,299,299,299,47
4,11,72,72,299,72,72,72,72,11
5,72,47,47,47,47,47,47,47,160
6,299,11,11,11,11,11,11,11,32
7,45,77,77,77,77,77,160,160,321
8,160,160,160,160,160,160,32,32,
9,392,392,392,32,32,32,321,321,
10,32,32,45,392,392,392,392,392,
11,17,45,32,45,45,321,17,17,
12,157,17,17,321,321,45,21,21,
13,321,157,157,17,17,17,157,157,
14,12,21,321,21,21,21,45,,
15,77,321,21,157,157,157,12,,
16,21,12,40,12,31,12,,,
17,40,40,31,31,12,,,,
18,150,150,12,150,150,,,,
19,13,31,150,13,,,,,
20,16,16,16,16,,,,,
21,119,13,13,40,,,,,
22,31,119,119,,,,,,
